{'index': 0, 'entNoMidRatio': 1.0}
{'index': 137, 'entNoMidRatio': 0.640625}
{'index': 138, 'entNoMidRatio': 0.5909090909090909}
{'index': 139, 'entNoMidRatio': 0.0}
{'index': 140, 'entNoMidRatio': 0.0}
{'index': 141, 'entNoMidRatio': 1.0}
{'index': 142, 'entNoMidRatio': 0.6666666666666666}
{'index': 143, 'entNoMidRatio': 0.625}
{'index': 144, 'entNoMidRatio': 0.5}
{'index': 145, 'entNoMidRatio': 0.6666666666666666}
{'index': 147, 'entNoMidRatio': 0.8571428571428571}
{'index': 148, 'entNoMidRatio': 1.0}
{'index': 150, 'entNoMidRatio': 0.6}
{'index': 151, 'entNoMidRatio': 0.2857142857142857}
{'index': 152, 'entNoMidRatio': 1.0}
{'index': 153, 'entNoMidRatio': 0.0}
{'index': 154, 'entNoMidRatio': 0.0}
{'index': 155, 'entNoMidRatio': 0.2857142857142857}
{'index': 156, 'entNoMidRatio': 0.2857142857142857}
{'index': 157, 'entNoMidRatio': 0.7017543859649122}
{'index': 158, 'entNoMidRatio': 0.46153846153846156}
{'index': 159, 'entNoMidRatio': 0.5}
{'index': 160, 'entNoMidRatio': 0.0}
{'index': 161, 'entNoMidRatio': 0.3333333333333333}
{'index': 162, 'entNoMidRatio': 0.6071428571428571}
{'index': 163, 'entNoMidRatio': 0.6666666666666666}
{'index': 164, 'entNoMidRatio': 0.5714285714285714}
{'index': 165, 'entNoMidRatio': 0.8}
{'index': 166, 'entNoMidRatio': 0.2857142857142857}
{'index': 168, 'entNoMidRatio': 0.8333333333333334}
{'index': 169, 'entNoMidRatio': 0.14285714285714285}
{'index': 170, 'entNoMidRatio': 0.0}
{'index': 171, 'entNoMidRatio': 0.2857142857142857}
{'index': 172, 'entNoMidRatio': 0.5}
{'index': 173, 'entNoMidRatio': 1.0}
{'index': 174, 'entNoMidRatio': 0.5}
{'index': 175, 'entNoMidRatio': 0.5714285714285714}
{'index': 176, 'entNoMidRatio': 0.5714285714285714}
{'index': 177, 'entNoMidRatio': 0.0}
{'index': 178, 'entNoMidRatio': 0.0}
{'index': 179, 'entNoMidRatio': 0.42857142857142855}
{'index': 183, 'entNoMidRatio': 0.2}
{'index': 184, 'entNoMidRatio': 0.0}
{'index': 185, 'entNoMidRatio': 0.4166666666666667}
{'index': 186, 'entNoMidRatio': 0.0}
{'index': 189, 'entNoMidRatio': 0.42857142857142855}
{'index': 190, 'entNoMidRatio': 0.8}
{'index': 191, 'entNoMidRatio': 0.5}
{'index': 192, 'entNoMidRatio': 0.7090909090909091}
{'index': 193, 'entNoMidRatio': 0.3}
{'index': 194, 'entNoMidRatio': 0.2857142857142857}
{'index': 195, 'entNoMidRatio': 0.5294117647058824}
{'index': 196, 'entNoMidRatio': 0.7142857142857143}
{'index': 197, 'entNoMidRatio': 0.375}
{'index': 199, 'entNoMidRatio': 0.8571428571428571}
{'index': 200, 'entNoMidRatio': 0.5}
{'index': 201, 'entNoMidRatio': 0.0}
{'index': 202, 'entNoMidRatio': 0.0}
{'index': 203, 'entNoMidRatio': 0.42857142857142855}
{'index': 205, 'entNoMidRatio': 0.0}
{'index': 206, 'entNoMidRatio': 0.0}
{'index': 207, 'entNoMidRatio': 0.7142857142857143}
{'index': 208, 'entNoMidRatio': 0.14285714285714285}
{'index': 209, 'entNoMidRatio': 0.0}
{'index': 210, 'entNoMidRatio': 1.0}
{'index': 211, 'entNoMidRatio': 0.0}
{'index': 212, 'entNoMidRatio': 0.5714285714285714}
{'index': 213, 'entNoMidRatio': 0.14285714285714285}
{'index': 215, 'entNoMidRatio': 1.0}
{'index': 216, 'entNoMidRatio': 0.7142857142857143}
{'index': 217, 'entNoMidRatio': 0.0}
{'index': 218, 'entNoMidRatio': 0.28205128205128205}
{'index': 219, 'entNoMidRatio': 0.42857142857142855}
{'index': 220, 'entNoMidRatio': 0.1111111111111111}
{'index': 223, 'entNoMidRatio': 0.75}
{'index': 224, 'entNoMidRatio': 0.5714285714285714}
{'index': 226, 'entNoMidRatio': 0.38095238095238093}
{'index': 227, 'entNoMidRatio': 0.42857142857142855}
{'index': 228, 'entNoMidRatio': 0.0}
{'index': 229, 'entNoMidRatio': 0.0}
{'index': 230, 'entNoMidRatio': 0.0}
{'index': 234, 'entNoMidRatio': 0.7333333333333333}
{'index': 235, 'entNoMidRatio': 0.5869565217391305}
{'index': 236, 'entNoMidRatio': 1.0}
{'index': 237, 'entNoMidRatio': 0.5}
{'index': 238, 'entNoMidRatio': 0.0}
{'index': 240, 'entNoMidRatio': 0.0}
{'index': 241, 'entNoMidRatio': 0.4090909090909091}
{'index': 242, 'entNoMidRatio': 0.0}
{'index': 243, 'entNoMidRatio': 0.75}
{'index': 244, 'entNoMidRatio': 0.42857142857142855}
{'index': 245, 'entNoMidRatio': 0.8571428571428571}
{'index': 246, 'entNoMidRatio': 1.0}
{'index': 247, 'entNoMidRatio': 0.0}
{'index': 248, 'entNoMidRatio': 0.625}
{'index': 250, 'entNoMidRatio': 0.5}
{'index': 251, 'entNoMidRatio': 0.14285714285714285}
{'index': 252, 'entNoMidRatio': 0.0}
{'index': 253, 'entNoMidRatio': 0.2631578947368421}
{'index': 255, 'entNoMidRatio': 0.0}
{'index': 256, 'entNoMidRatio': 0.46511627906976744}
{'index': 257, 'entNoMidRatio': 0.6}
{'index': 259, 'entNoMidRatio': 0.7222222222222222}
{'index': 260, 'entNoMidRatio': 0.75}
{'index': 261, 'entNoMidRatio': 0.42857142857142855}
{'index': 262, 'entNoMidRatio': 0.0}
{'index': 263, 'entNoMidRatio': 0.0}
{'index': 264, 'entNoMidRatio': 1.0}
{'index': 265, 'entNoMidRatio': 0.5714285714285714}
{'index': 267, 'entNoMidRatio': 0.47619047619047616}
{'index': 269, 'entNoMidRatio': 0.0}
{'index': 270, 'entNoMidRatio': 0.5}
{'index': 271, 'entNoMidRatio': 0.0}
{'index': 272, 'entNoMidRatio': 0.42857142857142855}
{'index': 273, 'entNoMidRatio': 0.5714285714285714}
{'index': 274, 'entNoMidRatio': 0.3333333333333333}
{'index': 275, 'entNoMidRatio': 0.42857142857142855}
{'index': 276, 'entNoMidRatio': 0.75}
{'index': 277, 'entNoMidRatio': 0.2857142857142857}
{'index': 278, 'entNoMidRatio': 0.7222222222222222}
{'index': 279, 'entNoMidRatio': 0.2222222222222222}
{'index': 280, 'entNoMidRatio': 0.7142857142857143}
{'index': 281, 'entNoMidRatio': 0.6363636363636364}
{'index': 282, 'entNoMidRatio': 0.0}
{'index': 283, 'entNoMidRatio': 0.8571428571428571}
{'index': 285, 'entNoMidRatio': 0.0}
{'index': 286, 'entNoMidRatio': 0.42857142857142855}
{'index': 287, 'entNoMidRatio': 0.7142857142857143}
{'index': 288, 'entNoMidRatio': 1.0}
{'index': 289, 'entNoMidRatio': 0.6}
{'index': 290, 'entNoMidRatio': 1.0}
{'index': 291, 'entNoMidRatio': 1.0}
{'index': 292, 'entNoMidRatio': 0.42857142857142855}
{'index': 293, 'entNoMidRatio': 0.5151515151515151}
{'index': 294, 'entNoMidRatio': 0.6666666666666666}
{'index': 295, 'entNoMidRatio': 0.8571428571428571}
{'index': 296, 'entNoMidRatio': 0.42857142857142855}
{'index': 297, 'entNoMidRatio': 0.0}
{'index': 298, 'entNoMidRatio': 0.0}
{'index': 299, 'entNoMidRatio': 0.6}
{'index': 300, 'entNoMidRatio': 0.2857142857142857}
{'index': 301, 'entNoMidRatio': 0.7142857142857143}
{'index': 302, 'entNoMidRatio': 1.0}
{'index': 303, 'entNoMidRatio': 0.7142857142857143}
{'index': 304, 'entNoMidRatio': 0.6666666666666666}
{'index': 305, 'entNoMidRatio': 0.0}
{'index': 306, 'entNoMidRatio': 0.5714285714285714}
{'index': 307, 'entNoMidRatio': 0.2857142857142857}
{'index': 308, 'entNoMidRatio': 0.3333333333333333}
{'index': 309, 'entNoMidRatio': 0.42857142857142855}
{'index': 310, 'entNoMidRatio': 1.0}
{'index': 312, 'entNoMidRatio': 0.5333333333333333}
{'index': 313, 'entNoMidRatio': 0.44285714285714284}
{'index': 314, 'entNoMidRatio': 0.6666666666666666}
{'index': 316, 'entNoMidRatio': 0.8095238095238095}
{'index': 318, 'entNoMidRatio': 0.0}
{'index': 319, 'entNoMidRatio': 0.0}
{'index': 320, 'entNoMidRatio': 0.14285714285714285}
{'index': 321, 'entNoMidRatio': 0.574468085106383}
{'index': 322, 'entNoMidRatio': 0.6666666666666666}
{'index': 323, 'entNoMidRatio': 0.14285714285714285}
{'index': 325, 'entNoMidRatio': 0.5714285714285714}
{'index': 326, 'entNoMidRatio': 0.0}
{'index': 327, 'entNoMidRatio': 0.7142857142857143}
{'index': 328, 'entNoMidRatio': 0.6}
{'index': 329, 'entNoMidRatio': 0.5}
{'index': 330, 'entNoMidRatio': 0.8571428571428571}
{'index': 331, 'entNoMidRatio': 0.0}
{'index': 332, 'entNoMidRatio': 0.0}
{'index': 333, 'entNoMidRatio': 0.6666666666666666}
{'index': 334, 'entNoMidRatio': 0.5}
{'index': 335, 'entNoMidRatio': 0.5714285714285714}
{'index': 336, 'entNoMidRatio': 0.0}
{'index': 337, 'entNoMidRatio': 0.0}
{'index': 338, 'entNoMidRatio': 0.7142857142857143}
{'index': 340, 'entNoMidRatio': 0.5081967213114754}
{'index': 341, 'entNoMidRatio': 0.75}
{'index': 342, 'entNoMidRatio': 0.5714285714285714}
{'index': 344, 'entNoMidRatio': 1.0}
{'index': 345, 'entNoMidRatio': 0.2857142857142857}
{'index': 346, 'entNoMidRatio': 0.0}
{'index': 347, 'entNoMidRatio': 0.6666666666666666}
{'index': 348, 'entNoMidRatio': 0.0}
{'index': 349, 'entNoMidRatio': 0.7142857142857143}
{'index': 350, 'entNoMidRatio': 0.8571428571428571}
{'index': 351, 'entNoMidRatio': 0.8571428571428571}
{'index': 352, 'entNoMidRatio': 0.5714285714285714}
{'index': 353, 'entNoMidRatio': 0.8571428571428571}
{'index': 354, 'entNoMidRatio': 0.625}
{'index': 355, 'entNoMidRatio': 0.5}
{'index': 356, 'entNoMidRatio': 0.2857142857142857}
{'index': 357, 'entNoMidRatio': 0.3888888888888889}
{'index': 359, 'entNoMidRatio': 0.2857142857142857}
{'index': 360, 'entNoMidRatio': 0.42857142857142855}
{'index': 361, 'entNoMidRatio': 0.5714285714285714}
{'index': 362, 'entNoMidRatio': 1.0}
{'index': 363, 'entNoMidRatio': 0.2857142857142857}
{'index': 364, 'entNoMidRatio': 0.5}
{'index': 365, 'entNoMidRatio': 0.0}
{'index': 366, 'entNoMidRatio': 0.8571428571428571}
{'index': 367, 'entNoMidRatio': 0.5}
{'index': 368, 'entNoMidRatio': 0.5}
{'index': 369, 'entNoMidRatio': 0.0}
{'index': 370, 'entNoMidRatio': 0.5}
{'index': 371, 'entNoMidRatio': 0.5}
{'index': 372, 'entNoMidRatio': 0.6428571428571429}
{'index': 373, 'entNoMidRatio': 0.5714285714285714}
{'index': 374, 'entNoMidRatio': 0.0}
{'index': 376, 'entNoMidRatio': 0.5535714285714286}
{'index': 378, 'entNoMidRatio': 0.2857142857142857}
{'index': 379, 'entNoMidRatio': 0.5714285714285714}
{'index': 380, 'entNoMidRatio': 0.0}
{'index': 381, 'entNoMidRatio': 0.14285714285714285}
